"","zipcode","value"
"1","10001",5900805.31647211
"2","10002",1701033.71401575
"3","10003",2595515.16247756
"4","10004",7147863.34149485
"5","10005",2453043.56093394
"6","10006",2816711.64493759
"7","10007",2703064.32397004
"8","10009",2008582.37303786
"9","10010",2729743.64914723
"10","10011",1867095.67359008
"11","10012",2538755.48572502
"12","10013",1609889.44379085
"13","10014",2371958.46050535
"14","10016",1575597.35868404
"15","10017",5319032.01008827
"16","10018",8523820.02705314
"17","10019",2752609.23003741
"18","10020",26945374.975
"19","10021",2565418.66568915
"20","10022",4619499.90134835
"21","10023",1389400.60275268
"22","10024",2077436.13337431
"23","10025",1057102.44982079
"24","10026",608224.823472669
"25","10027",1717860.34037901
"26","10028",4151059.13447783
"27","10029",1897972.51692308
"28","10030",806106.805064782
"29","10031",1095292.73609195
"30","10032",2005034.2197724
"31","10033",1482831.61111111
"32","10034",2134956.40307692
"33","10035",1356385.38872549
"34","10036",5150068.27734895
"35","10037",1750451.09125475
"36","10038",2225399.72051774
"37","10039",1318129.91442953
"38","10040",1955257.25274725
"39","10044",1849605.47108844
"40","10048",1.89e+08
"41","10065",2567758.79936369
"42","10069",514051.26227333
"43","10075",1815922.68553074
"44","10128",1508939.01273167
"45","10162",54800000
"46","10280",514331.386659129
"47","10281",262333333.333333
"48","10282",94588178.0454545
"49","10301",535073.048104204
"50","10302",382264.420966612
"51","10303",389254.473127601
"52","10304",504607.639031705
"53","10305",458642.421176471
"54","10306",486163.985161057
"55","10307",568355.051784817
"56","10308",442658.803334507
"57","10309",570296.51635514
"58","10310",421146.100615333
"59","10312",491620.513157169
"60","10314",483258.830204015
"61","10451",2651730.90318302
"62","10452",967533.379058979
"63","10453",828037.128529698
"64","10454",903566.664884135
"65","10455",780666.899730458
"66","10456",705923.680542416
"67","10457",800006.692485168
"68","10458",1004174.71071429
"69","10459",603499.06548241
"70","10460",733236.459935322
"71","10461",662084.534182306
"72","10462",197014.816740609
"73","10463",984913.002655161
"74","10464",473320.468126207
"75","10465",545041.322588291
"76","10466",460262.308344342
"77","10467",775512.258004926
"78","10468",1459591.20883777
"79","10469",477640.097189483
"80","10470",512089.757483731
"81","10471",1180929.56777494
"82","10472",575514.54679803
"83","10473",490067.540937224
"84","10474",1058869.36283186
"85","10475",2202923.30713246
"86","10803",959702.608695652
"87","11001",492039.773476112
"88","11004",726981.608976797
"89","11005",3.26e+08
"90","11040",627056.777777778
"91","11101",931290.563361662
"92","11102",596437.379985137
"93","11103",751662.94137095
"94","11104",650154.291487532
"95","11105",704122.168840324
"96","11106",817790.169860627
"97","11109",1282927.80927835
"98","11201",1498230.54286075
"99","11203",550499.108442309
"100","11204",680898.428713498
"101","11205",657843.459360555
"102","11206",550474.546764796
"103","11207",491371.903115594
"104","11208",518662.338630039
"105","11209",834257.566390041
"106","11210",684401.453391325
"107","11211",512650.674822974
"108","11212",567817.935126825
"109","11213",634429.425013535
"110","11214",671694.859085063
"111","11215",1069705.08940341
"112","11216",593812.573302822
"113","11217",1083095.53192621
"114","11218",695152.545625706
"115","11219",717147.443980583
"116","11220",706683.849370225
"117","11221",559842.004321988
"118","11222",666647.542893932
"119","11223",732965.958383763
"120","11224",526512.082562599
"121","11225",746760.204169662
"122","11226",702266.275570145
"123","11227",350978
"124","11228",686742.405682234
"125","11229",570208.243961541
"126","11230",835904.712476766
"127","11231",879816.599842891
"128","11232",877196.401077522
"129","11233",543099.012298047
"130","11234",552168.99640018
"131","11235",651075.543493635
"132","11236",496725.673300166
"133","11237",558129.792030684
"134","11238",733611.044948956
"135","11239",3197492.03589744
"136","11241",34600000
"137","11242",18510000
"138","11243",231363.124324324
"139","11352",1630000
"140","11354",652588.170755056
"141","11355",559376.179565383
"142","11356",610465.181836014
"143","11357",721857.190539032
"144","11358",623351.305264344
"145","11359",279670117
"146","11360",664220.845892736
"147","11361",683281.552651806
"148","11362",884089.675596688
"149","11363",916145.755943717
"150","11364",711277.079022342
"151","11365",644816.297006156
"152","11366",718975.514612115
"153","11367",658603.952298652
"154","11368",788368.323866239
"155","11369",620254.514412846
"156","11370",722683.251899474
"157","11371",629000
"158","11372",796964.260917031
"159","11373",700671.547602004
"160","11374",662785.91626506
"161","11375",911146.221767889
"162","11377",678077.591700288
"163","11378",610754.050908192
"164","11379",563455.022237121
"165","11385",559481.648482005
"166","11411",372720.034266134
"167","11412",369811.853610171
"168","11413",439737.118049877
"169","11414",637261.825912734
"170","11415",878230.480634921
"171","11416",487998.628450634
"172","11417",450527.768288646
"173","11418",531812.012278801
"174","11419",446407.519312169
"175","11420",449682.631828467
"176","11421",494155.147919633
"177","11422",495513.13994646
"178","11423",524463.056782946
"179","11426",568843.416251698
"180","11427",577189.675498242
"181","11428",416454.183870209
"182","11429",384745.855205214
"183","11430",4452500
"184","11432",846606.334839074
"185","11433",457632.768810289
"186","11434",481252.197905759
"187","11435",553731.983389776
"188","11436",384746.568902159
"189","11691",525884.750787697
"190","11692",743617.653403643
"191","11693",386298.665011287
"192","11694",665651.527711985
"193","11695",10524500
"194","11696",251450
"195","11697",58324300
"196","33803",209966.666666667
