"","borough","neighborhood","zip"
"1","Bronx ","Central Bronx","10453"
"2","Bronx ","Central Bronx","10457"
"3","Bronx ","Central Bronx","10460"
"4","Bronx ","Bronx Park and Fordham","10458"
"5","Bronx ","Bronx Park and Fordham","10467"
"6","Bronx ","Bronx Park and Fordham","10468"
"7","Bronx ","High Bridge and Morrisania","10451"
"8","Bronx ","High Bridge and Morrisania","10452"
"9","Bronx ","High Bridge and Morrisania","10456"
"10","Bronx ","Hunts Point and Mott Haven","10454"
"11","Bronx ","Hunts Point and Mott Haven","10455"
"12","Bronx ","Hunts Point and Mott Haven","10459"
"13","Bronx ","Kingsbridge and Riverdale","10463"
"14","Bronx ","Kingsbridge and Riverdale","10471"
"15",NA,NA,NA
"16","Bronx ","Northeast Bronx","10466"
"17","Bronx ","Northeast Bronx","10469"
"18","Bronx ","Northeast Bronx","10470"
"19","Bronx ","Southeast Bronx","10461"
"20","Bronx ","Southeast Bronx","10462,10464"
"21","Bronx ","Southeast Bronx","10465"
"22","Brooklyn","Central Brooklyn","11212"
"23","Brooklyn","Central Brooklyn","11213"
"24","Brooklyn","Central Brooklyn","11216"
"25","Brooklyn ","Southwest Brooklyn","11209"
"26","Brooklyn ","Southwest Brooklyn","11214"
"27","Brooklyn ","Southwest Brooklyn","11228"
"28","Brooklyn ","Borough Park","11204"
"29","Brooklyn ","Borough Park","11218"
"30","Brooklyn ","Borough Park","11219"
"31","Brooklyn ","Canarsie and Flatlands","11234"
"32","Brooklyn ","Canarsie and Flatlands","11236"
"33","Brooklyn ","Canarsie and Flatlands","11239"
"34","Brooklyn ","Southern Brooklyn","11223"
"35","Brooklyn ","Southern Brooklyn","11224"
"36","Brooklyn ","Southern Brooklyn","11229"
"37","Brooklyn ","Northwest Brooklyn","11201"
"38","Brooklyn ","Northwest Brooklyn","11205"
"39","Brooklyn ","Northwest Brooklyn","11215"
"40","Brooklyn ","Flatbush","11203"
"41","Brooklyn ","Flatbush","11210"
"42","Brooklyn ","Flatbush","11225"
"43","Brooklyn ","East New York and New Lots","11207"
"44","Brooklyn ","East New York and New Lots","11208"
"45",NA,NA,NA
"46","Brooklyn ","Greenpoint","11211"
"47","Brooklyn ","Greenpoint","11222"
"48",NA,NA,NA
"49","Brooklyn ","Sunset Park","11220"
"50","Brooklyn ","Sunset Park","11232"
"51",NA,NA,NA
"52","Brooklyn ","Bushwick and Williamsburg","11206"
"53","Brooklyn ","Bushwick and Williamsburg","11221"
"54","Brooklyn ","Bushwick and Williamsburg","11237"
"55","Manhattan","Central Harlem","10026"
"56","Manhattan","Central Harlem","10027"
"57","Manhattan","Central Harlem","10030"
"58","Manhattan","Chelsea and Clinton","10001"
"59","Manhattan","Chelsea and Clinton","10011"
"60","Manhattan","Chelsea and Clinton","10018"
"61","Manhattan","East Harlem","10029"
"62","Manhattan","East Harlem","10035"
"63","Manhattan","Chelsea and Clinton","10036"
"64","Manhattan","Gramercy Park and Murray Hill","10010"
"65","Manhattan","Gramercy Park and Murray Hill","10016"
"66","Manhattan","Gramercy Park and Murray Hill","10017"
"67","Manhattan","Greenwich Village and Soho","10012"
"68","Manhattan","Greenwich Village and Soho","10013"
"69","Manhattan","Greenwich Village and Soho","10014"
"70","Manhattan","Lower Manhattan","10004"
"71","Manhattan","Lower Manhattan","10005"
"72","Manhattan","Lower Manhattan","10006"
"73","Manhattan","Lower East Side","10002"
"74","Manhattan","Lower East Side","10003"
"75","Manhattan","Lower East Side","10009"
"76","Manhattan","Upper East Side","10021"
"77","Manhattan","Upper East Side","10028"
"78","Manhattan","Upper East Side","10044"
"79","Manhattan","Upper West Side","10023"
"80","Manhattan","Upper West Side","10024"
"81","Manhattan","Upper West Side","10025"
"82","Manhattan","Inwood and Washington Heights","10031"
"83","Manhattan","Inwood and Washington Heights","10032"
"84","Manhattan","Inwood and Washington Heights","10033"
"85","Queens ","Northeast Queens","11361"
"86","Queens ","Northeast Queens","11362"
"87","Queens ","Northeast Queens","11363"
"88","Queens ","North Queens","11354"
"89","Queens ","North Queens","11355"
"90","Queens ","North Queens","11356"
"91","Queens ","Central Queens","11365"
"92","Queens ","Central Queens","11366"
"93","Queens ","Central Queens","11367"
"94","Queens ","Jamaica","11412"
"95","Queens ","Jamaica","11423"
"96","Queens ","Jamaica","11432"
"97","Queens ","Northwest Queens","11101"
"98","Queens ","Northwest Queens","11102"
"99","Queens ","Northwest Queens","11103"
"100","Queens ","West Central Queens","11374"
"101","Queens ","West Central Queens","11375"
"102","Queens ","West Central Queens","11379"
"103","Queens ","Rockaways","11691"
"104","Queens ","Rockaways","11692"
"105","Queens ","Rockaways","11693"
"106","Queens ","Southeast Queens","11004"
"107","Queens ","Southeast Queens","11005"
"108","Queens ","Southeast Queens","11411"
"109","Queens ","Southwest Queens","11414"
"110","Queens ","Southwest Queens","11415"
"111","Queens ","Southwest Queens","11416"
"112","Queens ","West Queens","11368"
"113","Queens ","West Queens","11369"
"114","Queens ","West Queens","11370"
"115","Staten Island ","Port Richmond","10302"
"116","Staten Island ","Port Richmond","10303"
"117","Staten Island ","Port Richmond","10310"
"118","Staten Island ","South Shore","10306"
"119","Staten Island ","South Shore","10307"
"120","Staten Island ","South Shore","10308"
"121","Staten Island ","Stapleton and St. George","10301"
"122","Staten Island ","Stapleton and St. George","10304"
"123","Staten Island ","Stapleton and St. George","10305"
"124","Staten Island ","Mid-Island","10314"
